depth_range,frames,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb
0-3m,1449,288918478,0.26218984280346697,26.218984280346696,13.530903705365358,89.8667104289536,0.28847884487909964,3.3480396270751953
0-6m,1449,430195450,0.3489770102054475,34.89770102054475,13.38912104724507,89.61347057482826,0.28847884487909964,3.3480396270751953
0-10m,1449,445132800,0.38574453615653237,38.57445361565324,13.605593272973612,89.05149991193639,0.28847884487909964,3.3480396270751953
