dataset_index,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
0,0-3m,307200,0.17752573307991648,17.752573307991646,11.532283903748352,96.49772135416667,0.017136515241711912,3.346738815307617,640x480,1344x1008
0,0-6m,307200,0.17752573307991648,17.752573307991646,11.532283903748352,96.49772135416667,0.017136515241711912,3.346738815307617,640x480,1344x1008
0,0-10m,307200,0.17752573307991648,17.752573307991646,11.532283903748352,96.49772135416667,0.017136515241711912,3.346738815307617,640x480,1344x1008
1,0-3m,283894,0.2838376658254148,28.38376658254148,14.293372841367452,72.03357591213621,0.10312085363937835,3.346738815307617,640x480,1344x1008
1,0-6m,307200,0.31733395233614525,31.733395233614527,14.903800630883232,67.38802083333333,0.10312085363937835,3.346738815307617,640x480,1344x1008
1,0-10m,307200,0.31733395233614525,31.733395233614527,14.903800630883232,67.38802083333333,0.10312085363937835,3.346738815307617,640x480,1344x1008
2,0-3m,207554,0.17558539207565868,17.558539207565868,7.32284796632629,96.73723464736888,0.09841994455768527,3.346738815307617,640x480,1344x1008
2,0-6m,279798,0.24587387758001458,24.58738775800146,8.15342713112737,96.2179858326364,0.09841994455768527,3.346738815307617,640x480,1344x1008
2,0-10m,288788,0.25067972396931454,25.067972396931452,8.095504633539019,96.12553153178109,0.09841994455768527,3.346738815307617,640x480,1344x1008
3,0-3m,169298,1.1912711690798206,119.12711690798206,57.3190023761195,0.011222814209264137,0.09870735512822795,3.346738815307617,640x480,1344x1008
3,0-6m,215192,1.099243096057498,109.9243096057498,48.2659816418347,20.00167292464404,0.09870735512822795,3.346738815307617,640x480,1344x1008
3,0-10m,266378,1.0146521793456027,101.46521793456027,41.024914269615145,34.187507977385515,0.09870735512822795,3.346738815307617,640x480,1344x1008
4,0-3m,117237,1.1018784664777763,110.18784664777763,52.64702863585039,0.9715362897378813,0.10030707607039811,3.346738815307617,640x480,1344x1008
4,0-6m,191258,1.0049852543277649,100.49852543277649,40.38142490777253,24.19245208043585,0.10030707607039811,3.346738815307617,640x480,1344x1008
4,0-10m,263412,1.1470360430191566,114.70360430191566,35.321396525306795,32.987487282280235,0.10030707607039811,3.346738815307617,640x480,1344x1008
5,0-3m,123518,0.41131241000585195,41.13124100058519,19.83343012859449,74.92754092520929,0.09851679128564622,3.346738815307617,640x480,1344x1008
5,0-6m,256884,0.9639626941998732,96.39626941998732,26.174528674522087,44.561747714921914,0.09851679128564622,3.346738815307617,640x480,1344x1008
5,0-10m,285053,0.9544916712142454,95.44916712142454,24.939604586354662,46.610279491883965,0.09851679128564622,3.346738815307617,640x480,1344x1008
6,0-3m,118938,0.18368002116789395,18.368002116789395,8.97397152745928,98.22764801829524,0.09820288137859863,3.346738815307617,640x480,1344x1008
6,0-6m,307200,0.1601050692521191,16.01050692521191,5.629135894279299,98.8310546875,0.09820288137859863,3.346738815307617,640x480,1344x1008
6,0-10m,307200,0.1601050692521191,16.01050692521191,5.629135894279299,98.8310546875,0.09820288137859863,3.346738815307617,640x480,1344x1008
7,0-3m,149590,0.6697217924776255,66.97217924776255,30.65192735937402,12.956748445751721,0.09968333395934363,3.346738815307617,640x480,1344x1008
7,0-6m,274025,0.8431318878514109,84.3131887851411,27.53424603529328,19.560988960861238,0.09968333395934363,3.346738815307617,640x480,1344x1008
7,0-10m,290137,0.8240245053912185,82.40245053912186,26.448892927396678,23.782213230301547,0.09968333395934363,3.346738815307617,640x480,1344x1008
8,0-3m,160760,0.8487643399169476,84.87643399169475,38.36937483830922,21.46740482707141,0.09804725363857818,3.346738815307617,640x480,1344x1008
8,0-6m,253438,0.6138706830697294,61.387068306972935,25.959860597442052,48.61228387218965,0.09804725363857818,3.346738815307617,640x480,1344x1008
8,0-10m,277436,0.6018016048978962,60.18016048978963,24.346200546444287,52.681699563142494,0.09804725363857818,3.346738815307617,640x480,1344x1008
9,0-3m,172448,0.3216661093979493,32.16661093979493,17.294335579164784,78.78838838374466,0.09912961717876437,3.346738815307617,640x480,1344x1008
9,0-6m,287083,0.49207405593417547,49.20740559341755,16.29508708180501,84.7315933022854,0.09912961717876437,3.346738815307617,640x480,1344x1008
9,0-10m,287083,0.49207405593417547,49.20740559341755,16.29508708180501,84.7315933022854,0.09912961717876437,3.346738815307617,640x480,1344x1008
10,0-3m,193399,0.580057963445288,58.005796344528804,29.04507766705772,27.381217069374713,0.09711469898561112,3.346738815307617,640x480,1344x1008
10,0-6m,297517,0.487539727068696,48.753972706869604,21.240735456723396,50.95271866817694,0.09711469898561112,3.346738815307617,640x480,1344x1008
10,0-10m,297517,0.487539727068696,48.753972706869604,21.240735456723396,50.95271866817694,0.09711469898561112,3.346738815307617,640x480,1344x1008
11,0-3m,268695,0.250807105084064,25.0807105084064,12.3775104140762,75.30508569195557,0.09682827651371054,3.346738815307617,640x480,1344x1008
11,0-6m,307200,0.30455331851708856,30.455331851708856,13.334368978686554,73.96809895833333,0.09682827651371054,3.346738815307617,640x480,1344x1008
11,0-10m,307200,0.30455331851708856,30.455331851708856,13.334368978686554,73.96809895833333,0.09682827651371054,3.346738815307617,640x480,1344x1008
