dataset_index,image,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
0,2011_09_26_drive_0002_sync_image_0000000005_image_02.png,0-10m,36349,1.0839604176616777,108.39604176616777,14.054032594773084,94.9324603152769,2.4454284304662197,2.415170669555664,1216x352,1344x392
0,2011_09_26_drive_0002_sync_image_0000000005_image_02.png,0-20m,78692,1.1245320065616682,112.45320065616681,11.02390387709107,97.46988258018604,2.4454284304662197,2.415170669555664,1216x352,1344x392
0,2011_09_26_drive_0002_sync_image_0000000005_image_02.png,0-40m,93761,1.3219413652203496,132.19413652203497,10.603003305227173,97.69200413818112,2.4454284304662197,2.415170669555664,1216x352,1344x392
0,2011_09_26_drive_0002_sync_image_0000000005_image_02.png,0-80m,99241,1.5861687329452077,158.61687329452076,10.656492725158905,97.19370018439959,2.4454284304662197,2.415170669555664,1216x352,1344x392
1,2011_09_26_drive_0002_sync_image_0000000008_image_03.png,0-10m,35025,1.2803338696699667,128.03338696699666,16.58393221493387,69.58743754461099,2.4548961921568515,2.415170669555664,1216x352,1344x392
1,2011_09_26_drive_0002_sync_image_0000000008_image_03.png,0-20m,77615,1.2497743378884782,124.97743378884782,12.389366695764304,86.09031759324873,2.4548961921568515,2.415170669555664,1216x352,1344x392
1,2011_09_26_drive_0002_sync_image_0000000008_image_03.png,0-40m,92232,1.4382965401356564,143.82965401356563,11.802734067192057,88.17438633012404,2.4548961921568515,2.415170669555664,1216x352,1344x392
1,2011_09_26_drive_0002_sync_image_0000000008_image_03.png,0-80m,97308,1.6721682318013433,167.21682318013433,11.77848138513951,88.33600526164345,2.4548961921568515,2.415170669555664,1216x352,1344x392
2,2011_09_26_drive_0002_sync_image_0000000011_image_02.png,0-10m,35945,1.077637843685068,107.7637843685068,13.889474764866074,88.06788148560301,2.446264138855115,2.415170669555664,1216x352,1344x392
2,2011_09_26_drive_0002_sync_image_0000000011_image_02.png,0-20m,76936,1.144015856092631,114.4015856092631,11.200150206046942,94.34075075387335,2.446264138855115,2.415170669555664,1216x352,1344x392
2,2011_09_26_drive_0002_sync_image_0000000011_image_02.png,0-40m,93083,1.36424526300948,136.424526300948,10.767322849738537,95.1602333401373,2.446264138855115,2.415170669555664,1216x352,1344x392
2,2011_09_26_drive_0002_sync_image_0000000011_image_02.png,0-80m,98316,1.61603195055482,161.603195055482,10.822829145729813,94.92656332641685,2.446264138855115,2.415170669555664,1216x352,1344x392
3,2011_09_26_drive_0002_sync_image_0000000014_image_03.png,0-10m,42001,1.010976203671325,101.0976203671325,12.967541368184774,89.99547629818338,2.4525162203275723,2.415170669555664,1216x352,1344x392
3,2011_09_26_drive_0002_sync_image_0000000014_image_03.png,0-20m,81811,1.137882293276809,113.7882293276809,11.316624463441494,94.76965200278691,2.4525162203275723,2.415170669555664,1216x352,1344x392
