dataset_index,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
0,0-3m,167461,0.4084592381725648,40.84592381725648,15.775880094196989,97.62452153038618,0.29416963721470324,3.3480396270751953,640x480,1344x1008
0,0-6m,307200,0.5260567185220619,52.60567185220619,17.9380999617994,97.21256510416667,0.29416963721470324,3.3480396270751953,640x480,1344x1008
0,0-10m,307200,0.5260567185220619,52.60567185220619,17.9380999617994,97.21256510416667,0.29416963721470324,3.3480396270751953,640x480,1344x1008
1,0-3m,307200,0.19702161363675258,19.70216136367526,10.432548569152162,99.8115234375,0.29180802942028644,3.3480396270751953,640x480,1344x1008
1,0-6m,307200,0.19702161363675258,19.70216136367526,10.432548569152162,99.8115234375,0.29180802942028644,3.3480396270751953,640x480,1344x1008
1,0-10m,307200,0.19702161363675258,19.70216136367526,10.432548569152162,99.8115234375,0.29180802942028644,3.3480396270751953,640x480,1344x1008
2,0-3m,299908,0.17442534651631572,17.442534651631572,10.27058681752006,96.99341131280259,0.29125469903098666,3.3480396270751953,640x480,1344x1008
2,0-6m,307200,0.17221152934323375,17.221152934323374,10.08744380221463,97.06315104166666,0.29125469903098666,3.3480396270751953,640x480,1344x1008
2,0-10m,307200,0.17221152934323375,17.221152934323374,10.08744380221463,97.06315104166666,0.29125469903098666,3.3480396270751953,640x480,1344x1008
3,0-3m,307200,0.15184849495436842,15.184849495436842,9.50744289560183,95.64973958333334,0.29089402788848645,3.3480396270751953,640x480,1344x1008
3,0-6m,307200,0.15184849495436842,15.184849495436842,9.50744289560183,95.64973958333334,0.29089402788848645,3.3480396270751953,640x480,1344x1008
3,0-10m,307200,0.15184849495436842,15.184849495436842,9.50744289560183,95.64973958333334,0.29089402788848645,3.3480396270751953,640x480,1344x1008
4,0-3m,104849,0.3871622843663193,38.71622843663193,16.42228734196355,95.5726807122624,0.29206854568451557,3.3480396270751953,640x480,1344x1008
4,0-6m,307200,0.5678136890990815,56.781368909908146,16.89770310271762,87.76171875,0.29206854568451557,3.3480396270751953,640x480,1344x1008
4,0-10m,307200,0.5678136890990815,56.781368909908146,16.89770310271762,87.76171875,0.29206854568451557,3.3480396270751953,640x480,1344x1008
5,0-3m,44152,0.599417202440611,59.9417202440611,25.3396049763419,50.960318898351154,0.28995337926510495,3.3480396270751953,640x480,1344x1008
